g  6  1     61     60     58     57     55     54     53     53     54     57     57     57     58     61     64     66     66     65     65     64     68   -0.4
h  6  1     -9     -7     -5     -2      0      3      4      4      4      6     -1     -9    -10    -11    -12    -13    -15    -16    -16    -16    -17   -0.2
g  6  2    -11    -11    -11    -10    -10     -9     -9     -8     -7      6      4      3      1      8     15     28     42     51     59     65     74    0.9
h  6  2     83     86     89     93     96     99    102    104    105    100     99     96     99    100    100     99     93     88     82     77     64   -1.4
g  6  3   -217   -221   -224   -228   -233   -238   -242   -246   -249   -246   -247   -247   -237   -228   -212   -198   -192   -185   -178   -172   -161    2.0
h  6  3      2      4      5      8     11     14     19     25     33     16     33     48     60     68     72     75     71     69     69     67     65    0.0
g  6  4    -58    -57    -54    -51    -46    -40    -32    -25    -18    -25    -16     -8     -1      4      2      1      4      4      3      2     -5   -0.6
h  6  4    -35    -32    -29    -26    -22    -18    -16    -15    -15     -9    -12    -16    -20    -32    -37    -41    -43    -48    -52    -57    -61   -0.8
g  6  5     59     57     54     49     44     39     32     25     18     21     12      7     -2      1      3      6     14     16     18     17     17   -0.3
h  6  5     36     32     28     23     18     13      8      4      0    -16    -12    -12    -11     -8     -6     -4     -2     -1      1      4      1    0.0
g  6  6    -90    -92    -95    -98   -101   -103   -104   -106   -107   -104   -105   -107   -113   -111   -112   -111   -108   -102    -96    -94    -91    1.2
h  6  6    -69    -67    -65    -62    -57    -52    -46    -40    -33    -39    -30    -24    -17     -7      1     11     17     21     24     28     44    0.9
g  7  0     70     70     71     72     73     73     74     74     74     70     65     65     67     75     72     71     72     74     77     78     79   -0.4
g  7  1    -55    -54    -54    -54    -54    -54    -54    -53    -53    -40    -55    -56    -56    -57    -57    -56    -59    -62    -64    -67    -74   -0.4
h  7  1    -45    -46    -47    -48    -49    -50    -51    -52    -52    -45    -35    -50    -55    -61    -70    -77    -82    -83    -80    -77    -65    1.1
g  7  2      0      0      1      2      2      3      4      4      4      0      2      2      5      4      1      1      2      3      2      1      0   -0.3
h  7  2    -13    -14    -14    -14    -14    -14    -15    -17    -18    -18    -17    -24    -28    -27    -27    -26    -27    -27    -26    -25    -24    0.0
g  7  3     34     33     32     31     29     27     25     23     20      0      1     10     15     13     14     16     21     24     26     29     33    1.1
h  7  3    -10    -11    -12    -12    -13    -14    -14    -14    -14      2      0     -4     -6     -2     -4     -5     -5     -2      0      3      6    0.3
g  7  4    -41    -41    -40    -38    -37    -35    -34    -33    -31    -29    -40    -32    -32    -26    -22    -14    -12     -6     -1      4      9    1.1
h  7  4     -1      0      1      2      4      5      6      7      7      6     10      8      7      6      8     10     16     20     21     22     24   -0.1
g  7  5    -21    -20    -19    -18    -16    -14    -12    -11     -9    -10     -7    -11     -7     -6     -2      0      1      4      5      8      7   -0.2
h  7  5     28     28     28     28     28     29     29     29     29     28     36     28     23     26     23     22     18     17     17     16     15   -0.6
g  7  6     18     18     18     19     19     19     18     18     17     15      5      9     17     13     13     12     11     10      9     10      8    0.6
h  7  6    -12    -12    -13    -15    -16    -17    -18    -19    -20    -17    -18    -20    -18    -23    -23    -23    -23    -23    -23    -23    -25   -0.7
g  7  7      6      6      6      6      6      6      6      6      5     29     19     18      8      1     -2     -5     -2      0      0     -2     -2   -0.9
h  7  7    -22    -22    -22    -22    -22    -21    -20    -19    -19    -22    -16    -18    -17    -12    -11    -12    -10     -7     -4     -3     -6    0.2
g  8  0     11     11     11     11     11     11     11     11     11     13     22     11     15     13     14     14     18     21     23     24     25   -0.3
g  8  1      8      8      8      8      7      7      7      7      7      7     15      9      6      5      6      6      6      6      5      4      6    0.2
h  8  1      8      8      8      8      8      8      8      8      8     12      5     10     11      7      7      6      7      8     10     12     12    0.1
g  8  2     -4     -4     -4     -4     -3     -3     -3     -3     -3     -8     -4     -6     -4     -4     -2     -1      0      0     -1     -1     -9   -0.3
h  8  2    -14    -15    -15    -15    -15    -15    -15    -15    -14    -21    -22    -15    -14    -12    -15    -16    -18    -19    -19    -20    -22    0.0
g  8  3     -9     -9     -9     -9     -9     -9     -9     -9    -10     -5     -1    -14    -11    -14    -13    -12    -11    -11    -10     -9     -8    0.4
h  8  3      7      7      6      6      6      6      5      5      5    -12      0      5      7      9      6      4      4      5      6      7      8    0.0
g  8  4      1      1      1      2      2      2      2      1      1      9     11      6      2      0     -3     -8     -7     -9    -12    -14    -17   -1.0
h  8  4    -13    -13    -13    -13    -14    -14    -14    -15    -15     -7    -21    -23    -18    -16    -17    -19    -22    -23    -22    -21    -21    0.3
g  8  5      2      2      2      3      4      4      5      6      6      7     15     10     10      8      5      4      4      4      3      4      9    0.3
h  8  5      5      5      5      5      5      5      5      5      5      2     -8      3      4      4      6      6      9     11     12     12     15    0.6
g  8  6     -9     -8     -8     -8     -7     -7     -6     -6     -5    -10    -13     -7     -5     -1      0      0      3      4      4      5      7   -0.5
h  8  6     16     16     16     16     17     17     18     18     19     18     17     23     23     24     21     18     16     14     12     10      9   -0.4
g  8  7      5      5      5      6      6      7      8      8      9      7      5      6     10     11     11     10      6      4      2      0     -8   -0.7
h  8  7     -5     -5     -5     -5     -5     -5     -5     -5     -5      3     -4     -4      1     -3     -6    -10    -13    -15    -16    -17    -16    0.3
g  8  8      8      8      8      8      8      8      8      7      7      2     -1      9      8      4      3      1     -1     -4     -6     -7     -7   -0.4
h  8  8    -18    -18    -18    -18    -19    -19    -19    -19    -19    -11    -17    -13    -20    -17    -16    -17    -15    -11    -10    -10     -3    0.7
g  9  0      8      8      8      8      8      8      8      8      8      5      3      4      4      8      8      7      5      5      4      4      5    0.0
g  9  1     10     10     10     10     10     10     10     10     10    -21     -7      9      6     10     10     10     10     10      9      9      9    0.0
h  9  1    -20    -20    -20    -20    -20    -20    -20    -20    -21    -27    -24    -11    -18    -22    -21    -21    -21    -21    -20    -19    -20    0.0
g  9  2      1      1      1      1      1      1      1      1      1      1     -1     -4      0      2      2      2      1      1      1      1      3    0.0
h  9  2     14     14     14     14     14     14     14     15     15     17     19     12     12     15     16     16     16     15     15     15     13    0.0
g  9  3    -11    -11    -11    -11    -11    -11    -12    -12    -12    -11    -25     -5     -9    -13    -12    -12    -12    -12    -12    -12     -8    0.0
h  9  3      5      5      5      5      5      5      5      5      5     29     12      7      2      7      6      7      9      9     11     11     12    0.0
g  9  4     12     12     12     12     12     12     12     11     11      3     10      2      1     10     10     10      9      9      9      9      6    0.0
h  9  4     -3     -3     -3     -3     -3     -3     -3     -3     -3     -9      2      6      0     -4     -4     -4     -5     -6     -7     -7     -6    0.0
g  9  5      1      1      1      1      1      1      1      1      1     16      5      4      4     -1     -1     -1     -3     -3     -4     -4     -9    0.0
h  9  5     -2     -2     -2     -2     -2     -2     -2     -3     -3      4      2     -2     -3     -5     -5     -5     -6     -6     -7     -7     -8    0.0
g  9  6     -2     -2     -2     -2     -2     -2     -2     -2     -2     -3     -5      1     -1     -1      0     -1     -1     -1     -2     -2     -2    0.0
h  9  6      8      8      8      8      9      9      9      9      9      9      8     10      9     10     10     10      9      9      9      9      9    0.0
g  9  7      2      2      2      2      2      2      3      3      3     -4     -2      2     -2      5      3      4      7      7      7      7      9    0.0
h  9  7     10     10     10     10     10     10     10     11     11      6      8      7      8     10     11     11     10      9      8      7      4    0.0
g  9  8     -1      0      0      0      0      0      0      0      1     -3      3      2      3      1      1      1      2      1      1      0     -4    0.0
h  9  8     -2     -2     -2     -2     -2     -2     -2     -2     -2      1    -11     -6      0     -4     -2     -3     -6     -7     -7     -8     -8    0.0
g  9  9     -1     -1     -1     -1     -1     -1     -2     -2     -2     -4      8      5     -1     -2     -1     -2     -5     -5     -6     -6     -8    0.0
h  9  9      2      2      2      2      2      2      2      2      2      8     -7      5      5      1      1      1      2      2      2      1      5    0.0
g 10  0     -3     -3     -3     -3     -3     -3     -3     -3     -3     -3     -8     -3      1     -2     -3     -3     -4     -4     -3     -3     -2    0.0
g 10  1     -4     -4     -4     -4     -4     -4     -4     -4     -4     11      4     -5     -3     -3     -3     -3     -4     -4     -4     -4     -6    0.0
h 10  1      2      2      2      2      2      2      2      2      2      5     13     -4      4      2      1      1      1      1      2      2      1    0.0
g 10  2      2      2      2      2      2      2      2      2      2      1     -1     -1      4      2      2      2      2      3      2      2      2    0.0
h 10  2      1      1      1      1      1      1      1      1      1      1     -2      0      1      1      1      1      0      0      1      1      0    0.0
g 10  3     -5     -5     -5     -5     -5     -5     -5     -5     -5      2     13      2      0     -5     -5     -5     -5     -5     -5     -5     -3    0.0
h 10  3      2      2      2      2      2      2      2      2      2    -20    -10     -8      0      2      3      3      3      3      3      3      4    0.0
g 10  4     -2     -2     -2     -2     -2     -2     -2     -2     -2     -5     -4     -3     -1     -2     -1     -2     -2     -2     -2     -2      0    0.0
h 10  4      6      6      6      6      6      6      6      6      6     -1      2     -2      2      6      4      4      6      6      6      6      5    0.0
g 10  5      6      6      6      6      6      6      6      6      6     -1      4      7      4      4      6      5      5      5      4      4      4    0.0
h 10  5     -4     -4     -4     -4     -4     -4     -4     -4     -4     -6     -3     -4     -5     -4     -4     -4     -4     -4     -4     -4     -6    0.0
g 10  6      4      4      4      4      4      4      4      4      4      8     12      4      6      4      4      4      3      3      3      3      1    0.0
h 10  6      0      0      0      0      0      0      0      0      0      6      6      1      1      0      0     -1      0      0      0      0     -1    0.0
g 10  7      0      0      0      0      0      0      0      0      0     -1      3     -2      1      0      1      1      1      1      1      1      2    0.0
h 10  7     -2     -2     -2     -2     -2     -2     -2     -1     -1     -4     -3     -3     -1     -2     -1     -1     -1     -1     -2     -2     -3    0.0
g 10  8      2      2      2      1      1      1      1      2      2     -3      2      6     -1      2      0      0      2      2      3      3      4    0.0
h 10  8      4      4      4      4      4      4      4      4      4     -2      6      7      6      3      3      3      4      4      3      3      0    0.0
g 10  9      2      2      2      2      3      3      3      3      3      5     10     -2      2      2      3      3      3      3      3      3      0    0.0
h 10  9      0      0      0      0      0      0      0      0      0      0     11     -1      0      0      1      1      0      0     -1     -1     -2    0.0
g 10 10      0      0      0      0      0      0      0      0      0     -2      3      0      0      0     -1     -1      0      0      0      0     -1    0.0
h 10 10     -6     -6     -6     -6     -6     -6     -6     -6     -6     -2      8     -3     -7     -6     -4     -5     -6     -6     -6     -6     -8    0.0
